[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,793 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,803 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,913 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:45,913 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:45,913 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,023 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,023 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,023 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,144 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,144 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,144 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,254 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,254 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,254 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,374 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,374 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,374 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,484 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,484 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,484 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,604 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,604 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,604 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,744 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,744 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,754 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,865 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,865 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,865 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,985 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:46,985 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:46,985 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,095 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,105 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,105 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,295 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,295 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,295 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,415 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,415 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,415 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,536 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,536 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,536 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,656 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,656 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,656 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,766 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,766 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,776 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,896 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:47,896 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:47,896 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,016 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,016 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,016 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,126 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,126 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,126 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,257 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,257 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,257 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,367 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,367 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,367 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,487 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,487 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,487 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,607 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,607 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,607 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,727 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,727 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,727 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,837 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:48,837 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:48,837 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,068 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,068 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,068 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,198 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,198 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,198 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,308 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,308 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,308 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,428 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,428 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,428 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,558 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,558 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,558 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,669 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,669 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,669 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,909 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:49,909 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:49,909 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,039 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,039 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,039 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,149 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,149 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,149 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,269 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,269 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,269 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,390 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,390 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,390 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,500 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,500 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,510 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,620 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,620 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,620 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,730 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,730 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,730 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,950 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:50,960 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:50,960 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,091 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,091 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,091 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,201 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,201 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,211 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,311 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,321 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,321 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,431 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,431 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,431 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,541 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,551 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,551 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,661 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,661 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,671 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,782 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:51,782 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,782 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,892 [1] INFO  PDFv2.connect OTVORENE
